Profile,Latest Post,Timestamp,Post Link
"=HYPERLINK(""https://www.linkedin.com/in/adnnancontractor"", ""Adnnancontractor"")","🏝️ ""You Thought Palm Jumeirah Was Big? Then you haven’t seen what’s coming next. Palm Jebel Ali isn’t just bigger it’s redefining the scale of luxury. 🌍 2.5x t…","5h • 
 
5 hours ago • Visible to anyone on or off LinkedIn","=HYPERLINK(""https://www.linkedin.com/posts/adnnancontractor_palmjebelali-dubairealestate-uaeinvestment-activity-7374317520067051520-MLUG?utm_source=share&utm_medium=member_desktop&rcm=ACoAAEFXEyMBG5uK0z83qLclkGoWqk2-WbtS1sg"", ""Link"")"
"=HYPERLINK(""https://www.linkedin.com/in/joelleraad"", ""Joelleraad"")","In Dubai, luxury means space and skyline. In Tokyo, it means silence and seclusion. The world’s wealthiest buyers aren’t all chasing the same thing—they’re see…","1d • 
 
1 day ago • Visible to anyone on or off LinkedIn","=HYPERLINK(""https://www.linkedin.com/posts/joelleraad_04-activity-7373989094722449408-KS1A?utm_source=share&utm_medium=member_desktop&rcm=ACoAAEFXEyMBG5uK0z83qLclkGoWqk2-WbtS1sg"", ""Link"")"
"=HYPERLINK(""https://www.linkedin.com/in/younes-al-arab-930165124"", ""Younes Al Arab 930165124"")","Experience upscale living in this bespoke six-bedroom villa, located in the highly exclusive Mohamed bin Rashid City (MBR) enclave of District One. A masterpie…","2w • 
 
2 weeks ago • Visible to anyone on or off LinkedIn","=HYPERLINK(""https://www.linkedin.com/posts/younes-al-arab-930165124_experience-upscale-living-in-this-bespoke-activity-7368520863433891840-n4Fc?utm_source=share&utm_medium=member_desktop&rcm=ACoAAEFXEyMBG5uK0z83qLclkGoWqk2-WbtS1sg"", ""Link"")"
"=HYPERLINK(""https://www.linkedin.com/in/gurvinder-kaur-0"", ""Gurvinder Kaur 0"")","And yet again, Dubai Sotheby's International Realty has secured a record breaking sale on Palm Jumeirah with the exchange of this stunning mansion for AED 161…","1w • 
 
1 week ago • Visible to anyone on or off LinkedIn","=HYPERLINK(""https://www.linkedin.com/posts/gurvinder-kaur-0_and-yet-again-dubai-sothebys-international-activity-7370133327204413442-cd1Z?utm_source=share&utm_medium=member_desktop&rcm=ACoAAEFXEyMBG5uK0z83qLclkGoWqk2-WbtS1sg"", ""Link"")"
"=HYPERLINK(""https://www.linkedin.com/in/leighwilliamson13"", ""Leighwilliamson13"")","Digital FraudHunter, a free AI-powered tool, is helping UAE residents stay one step ahead of online scams. Interesting! Tell me your thoughts 👇 https://lnkd.in…","1d • 
 
1 day ago • Visible to anyone on or off LinkedIn","=HYPERLINK(""https://www.linkedin.com/posts/leighwilliamson13_could-that-message-be-a-scam-uaes-free-activity-7374000884587982848-poon?utm_source=share&utm_medium=member_desktop&rcm=ACoAAEFXEyMBG5uK0z83qLclkGoWqk2-WbtS1sg"", ""Link"")"
"=HYPERLINK(""https://www.linkedin.com/in/stephan-hirzel-31944a2b"", ""Stephan Hirzel 31944a2b"")","I’m delighted to present a rare opportunity at XXII Carat, Palm Jumeirah, the only villa directly on the beach currently for sale, offered exclusively with me.…","50m • Edited • 
 
50 minutes ago • Edited • Visible to anyone on or off LinkedIn","=HYPERLINK(""https://www.linkedin.com/posts/activity-7374387675539136513-UZhD?utm_source=share&utm_medium=member_desktop&rcm=ACoAAEFXEyMBG5uK0z83qLclkGoWqk2-WbtS1sg"", ""Link"")"
"=HYPERLINK(""https://www.linkedin.com/in/fahim-digtial-marketing-expert"", ""Fahim Digtial Marketing Expert"")",Proud to be part of Dubai Sotheby’s journey as we reopen our Sheikh Zayed Road office and outline exciting plans for the months ahead.,"3h • 
 
3 hours ago • Visible to anyone on or off LinkedIn","=HYPERLINK(""https://www.linkedin.com/posts/fahim-digtial-marketing-expert_dubaisothebysinternationalrealty-superprimerealestate-activity-7374343942575783936-Mw98?utm_source=share&utm_medium=member_desktop&rcm=ACoAAEFXEyMBG5uK0z83qLclkGoWqk2-WbtS1sg"", ""Link"")"
"=HYPERLINK(""https://www.linkedin.com/in/shaikh-abdulla-73562719"", ""Shaikh Abdulla 73562719"")","*✨ Something Big is Coming… ✨* *📅 10th October | Coca-Cola Arena, Dubai* *🎤 Dugasta Presents: Infinite Opportunities* Get ready for an unforgettable evening wh…","1w • 
 
1 week ago • Visible to anyone on or off LinkedIn","=HYPERLINK(""https://www.linkedin.com/posts/shaikh-abdulla-73562719_dugasta-realestatedubai-dubaiproperty-activity-7370374677598285824-nPhC?utm_source=share&utm_medium=member_desktop&rcm=ACoAAEFXEyMBG5uK0z83qLclkGoWqk2-WbtS1sg"", ""Link"")"
"=HYPERLINK(""https://www.linkedin.com/in/mohammad-alghamdi-898abb317"", ""Mohammad Alghamdi 898abb317"")",Discover the luxury you've been dreaming of—affordably priced and nestled in the heart of Dubai's most vibrant community. Town Square offers modern living with…,"2w • 
 
2 weeks ago • Visible to anyone on or off LinkedIn","=HYPERLINK(""https://www.linkedin.com/posts/dur-real-estate-llc_townsquaredubai-affordableluxury-dubailiving-activity-7368953778143727617-aarW?utm_source=share&utm_medium=member_desktop&rcm=ACoAAEFXEyMBG5uK0z83qLclkGoWqk2-WbtS1sg"", ""Link"")"
"=HYPERLINK(""https://www.linkedin.com/in/sachin-a-41b828107"", ""Sachin A 41b828107"")",جزر دبي افضل فرصة استثمارية حاليا مع اطلالات بحرية، مراسي، و ملاعب غولف ⛳️ غرفة، غرفتين وثلاث غرف مع صالة متوافرة بافضل سعر للقدم المربع لتفاصيل اكثر تواصل معن…,"5d • 
 
5 days ago • Visible to anyone on or off LinkedIn","=HYPERLINK(""https://www.linkedin.com/posts/dynasty-real-estate-broker-llc_dynastyrealestate-dubaiisland-beachfront-ugcPost-7372267844354531329-GwzQ?utm_source=share&utm_medium=member_desktop&rcm=ACoAAEFXEyMBG5uK0z83qLclkGoWqk2-WbtS1sg"", ""Link"")"
